#  ra             dec           radius                  
  339.665616     0.626936      0.011111111111111112    
  339.674658     1.016343      0.011111111111111112    
  339.676042     0.370402      0.011111111111111112    
  339.688986     1.035987      0.011111111111111112    
  339.689941     0.808963      0.011111111111111112    
  339.691885     0.271146      0.011111111111111112    
  339.692784     0.569238      0.011111111111111112    
  339.696124     0.828071      0.011111111111111112    
  339.709681     1.000268      0.011111111111111112    
  339.712207     0.785504      0.011111111111111112    
  339.717835     0.29493       0.011111111111111112    
  339.722464     0.73383       0.016666666666666666    
  339.729702     0.546113      0.011111111111111112    
  339.731978     0.827102      0.011111111111111112    
  339.734163     0.633202      0.011111111111111112    
  339.735152     0.196958      0.016666666666666666    
  339.737186     0.0271        0.011111111111111112    
  339.73963      1.024496      0.03333333333333333     
  339.7415       1.017382      0.011111111111111112    
  339.742525     0.175119      0.011111111111111112    
  339.745879     1.025019      0.03333333333333333     
  339.749469     0.694213      0.011111111111111112    
  339.751921     1.013624      0.011111111111111112    
  339.752316     0.292939      0.011111111111111112    
  339.75319      1.102577      0.011111111111111112    
  339.757999     1.236391      0.011111111111111112    
  339.771054     0.142112      0.025                   
  339.775284     0.71458       0.011111111111111112    
  339.776254     0.727974      0.011111111111111112    
  339.778447     0.190631      0.011111111111111112    
  339.788064     1.202105      0.011111111111111112    
  339.789242     0.903711      0.011111111111111112    
  339.78981      1.092038      0.011111111111111112    
  339.790019     0.791077      0.011111111111111112    
  339.791481     0.863688      0.011111111111111112    
  339.791663     0.720627      0.011111111111111112    
  339.796504     0.449761      0.011111111111111112    
  339.796905     0.249225      0.011111111111111112    
  339.806629     1.142632      0.011111111111111112    
  339.807757     0.43762       0.011111111111111112    
  339.822897     1.243138      0.011111111111111112    
  339.828595     0.393788      0.011111111111111112    
  339.829596     0.857057      0.016666666666666666    
  339.830039     1.175849      0.016666666666666666    
  339.831335     0.858841      0.011111111111111112    
  339.834276     0.621482      0.016666666666666666    
  339.835819     1.091097      0.011111111111111112    
  339.849684     0.584885      0.011111111111111112    
  339.850279     0.98973       0.011111111111111112    
  339.867393     0.326331      0.011111111111111112    
  339.868851     0.217896      0.011111111111111112    
  339.871896     0.241226      0.011111111111111112    
  339.879708     0.989384      0.011111111111111112    
  339.883142     0.904453      0.011111111111111112    
  339.921837     0.645036      0.011111111111111112    
  339.931824     0.296612      0.011111111111111112    
  339.939555     0.8904        0.011111111111111112    
  339.940697     1.038879      0.03333333333333333     
  339.948476     0.642029      0.011111111111111112    
  339.949558     1.08556       0.011111111111111112    
  339.954055     0.337781      0.011111111111111112    
  339.960378     0.227566      0.011111111111111112    
  339.987415     0.926901      0.011111111111111112    
  339.99287      0.936839      0.011111111111111112    
  340.002301     1.209295      0.041666666666666664    
  340.007065     0.548487      0.011111111111111112    
  340.012224     0.131967      0.011111111111111112    
  340.017741     1.06248       0.016666666666666666    
  340.037917     0.150576      0.011111111111111112    
  340.043116     0.886785      0.011111111111111112    
  340.0439       1.102255      0.011111111111111112    
  340.047641     0.757088      0.011111111111111112    
  340.048028     1.011893      0.011111111111111112    
  340.048328     0.153571      0.011111111111111112    
  340.053601     0.935101      0.011111111111111112    
  340.055309     1.165885      0.011111111111111112    
  340.061322     0.67229       0.011111111111111112    
  340.067637     0.578826      0.011111111111111112    
  340.082774     0.468315      0.011111111111111112    
  340.086305     1.138221      0.011111111111111112    
  340.105237     0.981954      0.025                   
  340.108412     0.116991      0.016666666666666666    
  340.111818     0.318246      0.011111111111111112    
  340.116488     1.183695      0.011111111111111112    
  340.1179       0.402578      0.011111111111111112    
  340.125952     0.612238      0.016666666666666666    
  340.130541     0.517951      0.016666666666666666    
  340.130561     0.020506      0.011111111111111112    
  331.82687	 -0.20715      0.05
  331.80771	 -0.21729      0.011111111111111112	
  331.938878     -0.21752      0.011111111111111112    
  331.939272     -1.235722     0.011111111111111112    
  331.944963     -0.676666     0.011111111111111112    
  331.946432     -0.100005     0.011111111111111112    
  331.949755     -0.276824     0.016666666666666666    
  331.950672     -0.074558     0.011111111111111112    
  331.95113      -0.712516     0.011111111111111112    
  331.958565     -0.433662     0.011111111111111112    
  331.961178     -1.126818     0.011111111111111112    
  331.964813     -0.917495     0.011111111111111112    
  331.970414     -0.612156     0.025                   
  331.975887     -0.807572     0.011111111111111112    
  331.983915     -0.467446     0.011111111111111112    
  331.989659     -0.572643     0.03333333333333333     
  331.990282     -0.435196     0.016666666666666666    
  331.996719     -0.502412     0.011111111111111112    
  331.999985     -0.663873     0.011111111111111112    
  332.005653     -0.853795     0.03333333333333333     
  332.00779      -0.803944     0.011111111111111112    
  332.012754     -0.618933     0.011111111111111112    
  332.018638     -0.98876      0.011111111111111112    
  332.018837     -0.962368     0.025                   
  332.02102      -0.723621     0.011111111111111112    
  332.025025     -0.494654     0.016666666666666666    
  332.026978     -0.365932     0.011111111111111112    
  332.02747      -0.928145     0.016666666666666666    
  332.030681     -0.144159     0.011111111111111112    
  332.03124      -0.537568     0.011111111111111112    
  332.042793     -0.531819     0.011111111111111112    
  332.050379     -0.904377     0.016666666666666666    
  332.058425     -1.221007     0.011111111111111112    
  332.061032     -0.769561     0.011111111111111112    
  332.061215     -1.04518      0.011111111111111112    
  332.066636     -0.899897     0.011111111111111112    
  332.074046     -0.054266     0.011111111111111112    
  332.074103     -0.426829     0.011111111111111112    
  332.079429     -1.237466     0.041666666666666664    
  332.079625     -0.043475     0.011111111111111112    
  332.083602     -0.117797     0.011111111111111112    
  332.084194     -0.544225     0.011111111111111112    
  332.08471      -1.042953     0.011111111111111112    
  332.091024     -0.782395     0.011111111111111112    
  332.093614     -0.709215     0.011111111111111112    
  332.097651     -0.877601     0.011111111111111112    
  332.101914     -0.96803      0.011111111111111112    
  332.104143     -0.05163      0.011111111111111112    
  332.107766     -0.811289     0.011111111111111112    
  332.134571     -0.993548     0.011111111111111112    
  332.136176     -0.610554     0.011111111111111112    
  332.14125      -0.107274     0.011111111111111112    
  332.143215     -0.227105     0.011111111111111112    
  332.148892     -0.303744     0.016666666666666666    
  332.150617     -1.163911     0.011111111111111112    
  332.153759     -0.340489     0.011111111111111112    
  332.16391      -0.067502     0.011111111111111112    
  332.166492     -0.695682     0.011111111111111112    
  332.166883     -0.378302     0.011111111111111112    
  332.171382     -0.667155     0.025                   
  332.172342     -0.301267     0.016666666666666666    
  332.172632     -1.089203     0.011111111111111112    
  332.175987     -0.403729     0.025                   
  332.1889       -0.283608     0.011111111111111112    
  332.198715     -1.238851     0.011111111111111112    
  332.205691     -0.806399     0.016666666666666666    
  332.212501     -0.77829      0.011111111111111112    
  332.214332     -0.53238      0.011111111111111112    
  332.216471     -1.217166     0.011111111111111112    
  332.221576     -0.021063     0.011111111111111112    
  332.223991     -0.31606      0.011111111111111112    
  332.235221     -0.437937     0.011111111111111112    
  332.239825     -1.12007      0.011111111111111112    
  332.240853     -0.99763      0.041666666666666664    
  332.252339     -0.417281     0.011111111111111112    
  332.261137     -0.874246     0.016666666666666666    
  332.264072     -0.901031     0.011111111111111112    
  332.266295     -0.424907     0.011111111111111112    
  332.282599     -0.779821     0.011111111111111112    
  332.282764     -0.371971     0.011111111111111112    
  332.297927     -1.062952     0.011111111111111112    
  332.307215     -0.56049      0.011111111111111112    
  332.313777     -0.841452     0.011111111111111112    
  332.315258     -0.516919     0.011111111111111112    
  332.317718     -0.782171     0.011111111111111112    
  332.321927     -0.441926     0.011111111111111112    
  332.326366     -0.066545     0.016666666666666666    
  332.329003     -1.130628     0.011111111111111112    
  332.336892     -0.783935     0.011111111111111112    
  332.343904     -0.065461     0.011111111111111112    
  332.351285     -0.55968      0.011111111111111112    
  332.364474     -1.156047     0.011111111111111112    
  332.364846     -0.541497     0.016666666666666666    
  332.368669     -1.121735     0.011111111111111112    
  332.369046     -0.071065     0.016666666666666666    
  332.37975      -0.306372     0.011111111111111112    
  340.131935     1.178155      0.011111111111111112    
  340.133025     0.673793      0.011111111111111112    
  340.134533     0.824784      0.011111111111111112    
  340.153153     0.865367      0.011111111111111112    
  340.158922     0.060542      0.011111111111111112    
  340.163413     0.043731      0.011111111111111112    
