#AOR	epoch	channel	RAtopL	DECtopL	RAbotL	DECbotL	RAbotR	DEbotR	RAtopR	DECtopR
16	2	2	341.757466269	-1.07407906926	340.998986505	0.98071165927	341.592032977	1.19525275668	342.349007323	-0.854949984727
17	1	1	342.528757847	-1.19566284911	341.75782872	0.855173116019	342.349240143	1.07315531442	343.119544163	-0.972578796806
17	1	2	342.486060069	-1.09018871201	341.715778612	0.959673713099	342.306901664	1.17801061502	343.076239263	-0.867408540233
17	2	1	342.477016766	-1.17903285835	341.705462725	0.8722781686	342.297048495	1.08979514211	343.067956417	-0.95589044786
17	2	2	342.43434785	-1.0736095864	341.663302173	0.976855608167	342.254663921	1.19454821943	343.024630643	-0.850635619542
18	1	1	343.138400697	-1.18041442679	342.38186246	0.876130942073	342.975050538	1.090222219	343.730696709	-0.961858188941
18	1	2	343.096367129	-1.07451450435	342.340490078	0.981064279052	342.933666167	1.19524618752	343.688111651	-0.856417964021
18	2	1	343.191148416	-1.19673918878	342.433399832	0.859358338458	343.026310702	1.07372027768	343.783481256	-0.977797208642
18	2	2	343.149082953	-1.09102194934	342.391889612	0.96424497982	342.984624145	1.17865724121	343.740803237	-0.872369784105
19	1	1	343.813006475	-1.17984133611	343.048621496	0.872908836021	343.640694539	1.09006320438	344.404842186	-0.959578652131
19	1	2	343.770625176	-1.07432788175	343.006776681	0.977766031035	343.598680305	1.194957387	344.361794494	-0.854210262968
19	2	1	343.865842328	-1.19613049588	343.09978438	0.856531403897	343.691926274	1.07349093787	344.45740386	-0.975119288515
19	2	2	343.82331468	-1.09045405762	343.05788986	0.961229802413	343.650013446	1.17829061267	344.414266673	-0.869740308756
20	1	1	344.492316047	-1.17835345636	343.711601284	0.869311099669	344.302219069	1.08944204077	345.082126501	-0.953185978933
20	1	2	344.449205464	-1.07306860585	343.668969866	0.973563114604	344.259294835	1.19404979503	345.038290086	-0.847888805461
20	2	1	344.54335408	-1.19529560445	343.763961478	0.852696460954	344.354868448	1.07300162795	345.133203601	-0.970223820903
20	2	2	344.50016907	-1.09008432017	343.72150875	0.957146843693	344.3121817	1.17765176023	345.089508119	-0.865097156605
21	1	1	344.862979676	1.19918294052	345.812447799	-0.769600296545	345.173511539	-1.0795115519	344.220731987	0.888425367793
21	1	2	344.914998923	1.09800828615	345.863664479	-0.869336224935	345.225236613	-1.17999084376	344.27338044	0.787495520675
21	2	1	344.914748975	1.18233880522	345.864599465	-0.786080048396	345.225629457	-1.09631414297	344.272481415	0.871629467991
21	2	2	344.966844993	1.08117815387	345.915803184	-0.885833288165	345.277302156	-1.1967260097	344.325238257	0.770656868596
22	1	1	345.833935081	-1.17830901215	345.049989832	0.867766709485	345.640401992	1.08940230109	346.423525799	-0.951637135225
22	1	2	345.790625487	-1.07306971217	345.007297227	0.97202276634	345.597567301	1.19407943251	346.379551584	-0.846537513051
22	2	1	345.886873706	-1.1947372594	345.101410306	0.850754336794	345.691712466	1.07267367269	346.476143878	-0.967686316193
22	2	2	345.843356241	-1.08967933565	345.058629698	0.955054796478	345.648695973	1.1771718437	346.432117987	-0.86271450945
23	1	1	346.174578611	1.20075382483	347.106626717	-0.775965344416	346.465293591	-1.08050189732	345.529550776	0.895410778585
23	1	2	346.225844581	1.09901894379	347.156867132	-0.876176261813	346.516006625	-1.1813989266	345.58150421	0.794198448735
23	2	1	346.226252543	1.18403049426	347.15897536	-0.792561850928	346.517485322	-1.09716519546	345.581380618	0.878757374584
23	2	2	346.277471896	1.08247211062	347.209221873	-0.892745562413	346.568251897	-1.19813596381	345.63339838	0.777484569799
24	1	1	346.844514434	1.18295907461	347.78087609	-0.798374267685	347.2089297	-1.06402719528	346.27391545	0.912420076728
24	1	2	346.895665015	1.08128796151	347.831177467	-0.898469226387	347.259629138	-1.1650103804	346.325807606	0.811124789036
24	2	1	346.896386702	1.16605556997	347.832877487	-0.815034850773	347.261086789	-1.08063006616	346.325947027	0.895572708036
